month,city,JSD_score,Spearman_cor,quarter
1,Anaheim,0.18214886751665,0.838248770824574,0
1,Ann Arbor,0.0,1.0,0
1,Crested Butte,2.23374843279405e-18,1.0,0
1,Grand Rapids,8.50006364975998e-17,1.0,0
1,Las Vegas,0.266752159202612,0.146428571428571,0
1,Los Angeles,0.20622766404624399,-0.16642857142857134,0
1,Memphis,0.109689139362975,0.5142857142857139,0
1,Miami Beach,0.132624326880214,0.157142857142857,0
1,New York,0.31134325296024934,-0.44833333333333314,0
1,Orlando,0.17821134603673602,0.0607142857142857,0
1,Park City,1.8586870175614394e-18,1.0,0
1,San Antonio,0.11892085749389601,0.39285714285714285,0
1,San Francisco,0.24342964697480304,-0.0392857142857143,0
1,Santa Rosa Beach,0.0,1.0,0
1,St. Louis,0.0,1.0,0
1,Tampa,0.0,1.0,0
2,Chicago,0.0752770370356322,0.34642857142857103,0
2,Daytona Beach,0.0,,0
2,Detroit,0.172013548928441,0.448615013810166,0
2,Harrisburg,0.0,1.0,0
2,Hollywood,0.224461586561293,0.225,0
2,Houston,0.0320839147119669,0.839285714285714,0
2,Kansas City,0.0,1.0,0
2,London,0.0929408445598565,-0.14285714285714302,0
2,Los Angeles,0.17248693009156438,-0.08452380952380964,0
2,Memphis,0.109689139362975,0.5142857142857139,0
2,Nashville,0.324784285859288,-0.27499999999999974,0
2,New Orleans,0.28207089929131896,-0.27857142857142897,0
2,New York,0.2322297610056213,0.01714285714285721,0
2,San Francisco,0.12248097078425,0.125,0
2,Santa Monica,0.0,1.0,0
2,Ventura,0.0,1.0,0
3,Anaheim,0.0627324141496688,0.425,0
3,Austin,0.21408740679363916,0.18399565304628,0
3,Boise,0.0,1.0,0
3,Las Vegas,0.223792739643925,0.0035714285714283367,0
3,London,0.17739402809061397,0.578571428571428,0
3,Los Angeles,0.2081204013336624,0.0027622076185341636,0
3,Miami,0.23738077071434457,0.41785714285714287,0
3,Miami Beach,0.16277462526016598,0.9285714285714279,0
3,Nashville,0.19740196525325301,0.13928571428571399,0
3,New York,0.273912061166779,0.03785714285714289,0
3,Phoenix,0.11774428956495601,0.8892857142857141,0
3,Walland,0.0,1.0,0
4,Anaheim,0.0627324141496688,0.425,0
4,Austin,0.186106290175978,0.40357142857142797,0
4,Brooklyn,0.305262608206892,-0.0785714285714286,0
4,Chicago,0.19611060929602306,-0.18571428571428603,0
4,Clarksdale,0.0581450349096185,0.705463600778662,0
4,Florence,0.0,1.0,0
4,Fort Lauderdale,5.0125448298951293e-17,1.0,0
4,Forth Worth,0.0,1.0,0
4,Hollywood,0.156319347863008,-0.12142857142857101,0
4,Indio,0.10283958556625933,0.5547619047619042,0
4,Lancaster,0.0,1.0,0
4,Las Cruces,-6.214116349742131e-19,1.0,0
4,Las Vegas,0.17052559126207756,-0.28690476190476155,0
4,Los Angeles,0.28744861324255366,0.020238095238095218,0
4,Miami,0.24211848822509602,0.375,0
4,Nashville,0.2358252051571185,0.15551948051948036,0
4,New Orleans,0.22765605338503003,0.36428571428571416,0
4,New York,0.15150761097792667,0.0031746031746030337,0
4,Orlando,0.20127705559173104,0.4749999999999999,0
4,Philadelphia,0.209313855503612,-0.0392857142857143,0
4,Phoenix,0.21655056994446747,0.35535714285714254,0
4,Seattle,0.145511152182986,0.625,0
4,Walland,0.0,1.0,0
4,Washington,0.168143610944758,0.21785714285714303,0
4,Wilkesboro,0.0,1.0,0
5,Atlanta,0.105284531005549,0.5321428571428571,0
5,Baltimore,0.03120391852379805,1.0,0
5,Boston,0.04017599401763101,0.9964285714285709,0
5,Brighton,0.0,1.0,0
5,Brooklyn,0.230719936910038,0.33214285714285696,0
5,Charleston,0.128952215658054,0.528571428571428,0
5,Cumberland,0.0,1.0,0
5,Dana Point,0.137301402741165,0.792857142857143,0
5,Detroit,0.123847455648394,0.48571428571428604,0
5,Durham,0.0,1.0,0
5,George,2.78802696462143e-18,1.0,0
5,Gulf Shores,0.0,1.0,0
5,Hollywood,0.23332295104278097,0.032142857142857494,0
5,Key West,2.23374845152643e-18,1.0,0
5,Las Vegas,0.214558061618276,-0.21785714285714303,0
5,Liverpool,0.0,1.0,0
5,Los Angeles,0.2527418459544886,-0.10142857142857128,0
5,Louisville,0.129780719523063,0.33928571428571397,0
5,Memphis,0.17434167049515026,0.7169642857142857,0
5,Nashville,0.19876181345743482,0.2041666666666668,0
5,New Orleans,0.2727810438926503,0.21857142857142864,0
5,New York,0.25745025451151204,-0.37338937142948464,0
5,Philadelphia,0.20931385662716798,-0.23214285714285698,0
5,Spokane,-1.2372763390870498e-18,0.9991067439039157,0
6,Augusta,-4.50869891373576e-17,1.0,0
6,Bethel Woods,1.4783573858440552e-17,1.0,0
6,Beverly Hills,0.1436860451211145,0.7124999999999999,0
6,Brooklyn,0.18028083062301983,0.15297619047619035,0
6,Charleston,0.128952215658054,0.5285714285714281,0
6,Chicago,0.229644380118596,-0.3499999999999999,0
6,Cincinnati,0.0311084377705924,0.9964285714285709,0
6,Culver City,7.44580148756619e-19,1.0,0
6,Dover,0.0,1.0,0
6,Eau Claire,1.1704028493088495e-14,0.8699999999999999,0
6,Elmont,0.0,1.0,0
6,Erin,7.266673595081929e-17,1.0,0
6,Glastonbury,0.0,1.0,0
6,Hollywood,0.250922449216202,0.0892857142857143,0
6,Hudson,0.0,1.0,0
6,Hunter,3.71182901726185e-18,1.0,0
6,Las Vegas,0.225615906572152,-0.453571428571428,0
6,Los Angeles,0.28941798276613967,-0.0776785714285716,0
6,Manchester,0.0,1.0,0
6,Milwaukee,0.046750721072838876,0.48571428571428604,0
6,Nashville,0.23762006433965363,-0.06501871926466964,0
6,New Orleans,0.159434577958818,0.6964285714285711,0
6,New York,0.24160944416747637,-0.1520186335403725,0
6,North Adams,3.71182901726696e-18,1.0,0
6,Pasadena,0.0,1.0,0
6,Philadelphia,0.20931383025945302,0.414285714285714,0
6,Rochester,7.445732438558008e-19,1.0,0
6,Saratoga,0.0,1.0,0
6,Telluride,0.0254074757975985,0.9964285714285709,0
6,Washington,0.127057068120356,0.33928571428571397,0
6,Waterford,0.0,1.0,0
7,Aspen,0.13730142582339,0.6642857142857139,0
7,Beltsville,9.362283311106889e-17,1.0,0
7,Brooklyn,0.15717481844945702,0.0392857142857143,0
7,Camden,0.0,1.0,0
7,Chicago,0.24399534880584348,-0.15,0
7,Floyd,0.0,1.0,0
7,George,-5.5760584531874394e-18,1.0,0
7,Greenfield,3.71736703296331e-18,1.0,0
7,Las Vegas,0.2959797488925382,-0.04448051948051963,0
7,Los Angeles,0.21060312688740246,-0.1807142857142855,0
7,Louisville,0.09218316826184798,0.875,0
7,Miami,0.197446862137351,-0.189285714285714,0
7,Midland,0.0,1.0,0
7,Milwaukee,0.0392175849095795,0.4857142857142861,0
7,Nashville,0.33819616799357477,-0.6081168831168836,0
7,New Orleans,0.159434577958818,0.6964285714285711,0
7,New York,0.16951264413417427,-0.0211038961038961,0
7,Newport,3.3143692300965704e-15,1.0,0
7,Okemah,-4.06194927548296e-17,1.0,0
7,Queens,0.16933943896148101,0.5178571428571429,0
7,Rochester,7.445732438558009e-19,1.0,0
7,San Diego,0.13772820306860098,0.49642857142857105,0
7,Twin Lakes,0.0,1.0,0
7,Washington,0.127057068120356,0.33928571428571397,0
8,Arrington,0.0,1.0,0
8,Atlantic City,0.0,1.0,0
8,Big Sky,9.42442370658343e-17,1.0,0
8,Black Rock Desert,0.0,1.0,0
8,Boulder,0.0,1.0,0
8,Brecon Beacons,0.0,1.0,0
8,Brooklyn,0.275665323497244,0.175,0
8,Charleston,0.12485082754955999,0.675,0
8,Chicago,0.19864566228264802,-0.43928571428571395,0
8,Clarksdale,0.0315030005777608,0.992857142857143,0
8,Fayetteville,0.0,1.0,0
8,Happy Valley,3.512657704139158e-17,1.0,0
8,Inglewood,0.0,1.0,0
8,Los Angeles,0.2391902185434474,-0.25051020408163244,0
8,Missoula,0.0,1.0,0
8,Nashville,0.17658594234255137,-0.36964285714285705,0
8,New Orleans,0.255614041520939,-0.146428571428571,0
8,New York,0.19779583036829795,0.05844155844155841,0
8,Newport,3.3494388640742e-15,0.6714285714285712,0
8,Philadelphia,0.18330261326487504,0.24285714285714302,0
8,Portland,0.0,1.0,0
8,Queens,0.0700608089956655,0.101876716283584,0
8,Reading,0.0,1.0,0
8,San Francisco,0.122480976303922,0.0821428571428571,0
8,Sturgis,-4.8043150789362196e-17,1.0,0
8,Telluride,0.0176458786805273,0.932142857142857,0
8,Wantagh,0.0,1.0,0
9,Atlanta,0.16649668732990822,0.8478571428571426,0
9,Austin,0.2595683462082705,-0.03928571428571403,0
9,Black Rock Desert,0.0,1.0,0
9,Bristol,1.48916548874733e-18,1.0,0
9,Brooklyn,0.19708128552938817,0.1613095238095237,0
9,Burgettstown,0.0,,0
9,Charleston,0.12485082754955999,0.6750000000000002,0
9,Chicago,0.2469599335633085,0.05178571428571457,0
9,Cincinnati,0.0652282749763324,1.0,0
9,Dana Point,0.137301373355531,0.9964285714285709,0
9,Detroit,0.10143131916534201,0.982142857142857,0
9,Dewey Beach,0.0,1.0,0
9,Foxborough,0.0,1.0,0
9,Franklin,0.0,1.0,0
9,Isle of Wight,2.9567147716881296e-17,1.0,0
9,Las Vegas,0.24258949881904027,-0.17182539682539674,0
9,London,0.179899990399499,0.11250000000000002,0
9,Los Angeles,0.24781198814642927,-0.14132653061224487,0
9,Louisville,0.14021122735096395,0.5428571428571427,0
9,Miami,0.21540825276312198,0.24285714285714302,0
9,Milwaukee,0.17762284055318867,0.7214285714285709,0
9,Montreal,0.0,1.0,0
9,Nashville,0.19806545785767998,0.5091836734693876,0
9,New York,0.2007912816402667,-0.013945380064930003,0
9,Philadelphia,0.13238768150289,0.27857142857142897,0
9,Queens,0.1351413617849378,0.2399051663719877,0
9,Raleigh,0.1472443411189921,0.2603571428571425,0
9,San Francisco,0.22612226841723598,-0.03654160548908279,0
9,San Jose,0.0,1.0,0
9,Seattle,0.14337763753572302,0.9892857142857142,0
9,Telluride,0.0176458786805273,0.932142857142857,0
9,Toronto,0.0,1.0,0
9,Washington,0.0386334171517779,0.5714285714285711,0
10,Aberdeen,0.0,1.0,0
10,Atlanta,0.13234820721043072,0.42499999999999993,0
10,Austin,0.1982847008813143,0.6188775510204084,0
10,Chicago,0.160279397295528,-0.18571428571428597,0
10,Hillsborough,0.0,1.0,0
10,Joshua Tree,0.0,1.0,0
10,Las Vegas,0.203161883851822,-0.23214285714285698,0
10,Los Angeles,0.30313855428506403,-0.14107142857142846,0
10,Memphis,0.156602819694718,0.167857142857143,0
10,Nashville,0.20779665399085398,-0.14553571428571452,0
10,New Orleans,0.24125363295169353,0.017857142857142978,0
10,New York,0.18125643486681814,-0.02228260869565199,0
10,Oakland,0.0,1.0,0
10,Palm Desert,6.18638169543844e-18,1.0,0
10,San Antonio,0.0696189353095219,0.9964285714285709,0
10,San Francisco,0.27074297484015647,-0.10446428571428583,0
10,Washington D.C.,0.0,1.0,0
10,Westminster,0.0,1.0,0
11,Beverly Hills,0.1329109762591343,0.5160714285714284,0
11,Dallas,0.0,1.0,0
11,Hollywood,0.18571022599499398,0.1,0
11,Las Vegas,0.3344249131018005,-0.0910714285714285,0
11,Los Angeles,0.21535556697317443,-0.13499999999999984,0
11,McDade,0.0,1.0,0
11,Nashville,0.1900990782216022,0.108035714285714,0
11,New York,0.1738114875933702,0.10257936507936528,0
11,Orlando,0.195343257404048,-0.0857142857142857,0
11,San Diego,0.13180938741218598,0.34642857142857103,0
11,Washington,0.2339678467684585,0.03035714285714286,0
12,Aspen,0.137301427462105,0.7642857142857141,0
12,Boston,0.0176147769071923,0.7214285714285709,0
12,Hollywood,0.131241376930956,0.2,0
12,Las Vegas,0.135041940259221,-0.45357142857142796,0
12,Los Angeles,0.17645891974257602,-0.0428571428571429,0
12,Marina Del Rey,0.0,1.0,0
12,Miami Beach,0.145968735020148,0.4678571428571429,0
12,New York,0.26741568019421996,-0.36071428571428604,0
12,South Lake Tahoe,7.42365803452899e-18,1.0,0
12,Washington,0.268656135915158,0.264285714285714,0
